exposure_quintile,clinic_months,events,exposure_min,exposure_max,exposure_median,rate_per_1000,lower_per_1000,upper_per_1000,exposure
Q1,23060,46,0.23490849137306213,2.810547351837158,2.0769102573394775,1.99479618386817,1.4959645342952976,2.6595209684911367,Chlorophyll-a
Q2,23059,57,2.810547351837158,4.155036449432373,3.458808183670044,2.4719198577561907,1.9085825755404289,3.200998524043641,Chlorophyll-a
Q3,23059,84,4.155036449432373,5.863713264465332,4.8649373054504395,3.6428292640617546,2.9435891741275815,4.507420673358969,Chlorophyll-a
Q4,23059,94,5.863713264465332,9.029064178466797,7.136025428771973,4.076499414545297,3.332630271556085,4.98557540848694,Chlorophyll-a
Q5,23059,111,9.029064178466797,55.09961700439453,12.390364646911621,4.813738670367319,3.9991445635465763,5.793294031842459,Chlorophyll-a
Q1,23060,38,21.381738281250023,24.767480468750023,24.126855468750023,1.647875108412836,1.2008760505791765,2.2608828660023024,Sea surface temperature
Q2,23059,70,24.767480468750023,26.121728515625023,25.419580078125023,3.0356910533847956,2.4036556498309576,3.8332800320765297,Sea surface temperature
Q3,23059,81,26.121728515625023,27.565820312500023,26.888330078125023,3.512728218916692,2.827388684911147,4.363462412808462,Sea surface temperature
Q4,23059,76,27.565820312500023,28.684960937500023,28.142724609375023,3.295893143674921,2.6343044801470743,4.122948701294297,Sea surface temperature
Q5,23059,127,28.684960937500023,31.103662109375023,29.374414062500023,5.507610911140986,4.6312758709244575,6.548676056554937,Sea surface temperature
