date,year_int,month_int,small_event_clinic_months,large_event_clinic_months,mfp_event_clinic_months,mfp_cases_augmented
2016-01-01,2016,1,5,2,7,35
2016-02-01,2016,2,9,2,11,35
2016-03-01,2016,3,4,2,6,15
2016-04-01,2016,4,6,1,7,14
2016-05-01,2016,5,7,1,8,19
2016-06-01,2016,6,2,0,2,3
2016-07-01,2016,7,2,0,2,4
2016-08-01,2016,8,4,0,4,10
2016-09-01,2016,9,3,0,3,3
2016-10-01,2016,10,6,1,7,257
2016-11-01,2016,11,8,0,8,10
2016-12-01,2016,12,4,1,5,12
2017-01-01,2017,1,5,1,6,12
2017-02-01,2017,2,7,0,7,10
2017-03-01,2017,3,11,0,11,16
2017-04-01,2017,4,9,2,11,25
2017-05-01,2017,5,4,0,4,8
2017-06-01,2017,6,8,1,9,28
2017-07-01,2017,7,6,0,6,8
2017-08-01,2017,8,6,4,10,29
2017-09-01,2017,9,8,0,8,11
2017-10-01,2017,10,9,0,9,11
2017-11-01,2017,11,7,1,8,41
2017-12-01,2017,12,6,1,7,46
2018-01-01,2018,1,7,1,8,35
2018-02-01,2018,2,4,3,7,21
2018-03-01,2018,3,6,1,7,12
2018-04-01,2018,4,3,3,6,44
2018-05-01,2018,5,3,1,4,46
2018-06-01,2018,6,6,2,8,20
2018-07-01,2018,7,10,1,11,16
2018-08-01,2018,8,6,0,6,8
2018-09-01,2018,9,4,0,4,5
2018-10-01,2018,10,5,1,6,11
2018-11-01,2018,11,4,0,4,5
2018-12-01,2018,12,5,1,6,14
2019-01-01,2019,1,7,1,8,12
2019-02-01,2019,2,7,1,8,20
2019-03-01,2019,3,9,1,10,23
2019-04-01,2019,4,6,1,7,16
2019-05-01,2019,5,8,1,9,83
2019-06-01,2019,6,9,0,9,14
2019-07-01,2019,7,6,1,7,14
2019-08-01,2019,8,2,1,3,8
2019-09-01,2019,9,4,1,5,8
2019-10-01,2019,10,5,1,6,12
2019-11-01,2019,11,5,0,5,6
2019-12-01,2019,12,3,0,3,4
2020-01-01,2020,1,2,0,2,2
2020-02-01,2020,2,6,2,8,38
2020-03-01,2020,3,6,0,6,11
2020-04-01,2020,4,6,0,6,10
2020-05-01,2020,5,5,0,5,6
2020-06-01,2020,6,3,3,6,60
2020-07-01,2020,7,4,1,5,423
2020-08-01,2020,8,3,0,3,3
2020-09-01,2020,9,7,1,8,21
2020-10-01,2020,10,8,5,13,92
2020-11-01,2020,11,6,1,7,12
2020-12-01,2020,12,5,1,6,11
2021-01-01,2021,1,6,3,9,37
2021-02-01,2021,2,5,2,7,16
2021-03-01,2021,3,12,1,13,74
2021-04-01,2021,4,4,1,5,13
2021-05-01,2021,5,2,1,3,7
2021-06-01,2021,6,3,1,4,35
2021-07-01,2021,7,8,0,8,10
2021-08-01,2021,8,2,1,3,12
2021-09-01,2021,9,5,1,6,35
2021-10-01,2021,10,3,3,6,532
2021-11-01,2021,11,5,0,5,6
2021-12-01,2021,12,1,2,3,34
2022-01-01,2022,1,6,1,7,47
2022-02-01,2022,2,0,1,1,10
2022-03-01,2022,3,1,0,1,1
2022-04-01,2022,4,5,0,5,6
2022-05-01,2022,5,5,0,5,6
2022-06-01,2022,6,3,0,3,3
2022-07-01,2022,7,2,0,2,3
2022-08-01,2022,8,6,0,6,8
2022-09-01,2022,9,2,3,5,43
2022-10-01,2022,10,6,0,6,8
2022-11-01,2022,11,9,1,10,18
2022-12-01,2022,12,2,1,3,29
2023-01-01,2023,1,5,1,6,12
2023-02-01,2023,2,1,0,1,3
2023-03-01,2023,3,3,0,3,6
2023-04-01,2023,4,2,0,2,4
2023-05-01,2023,5,4,1,5,75
2023-06-01,2023,6,3,1,4,12
2023-07-01,2023,7,4,2,6,12
2023-08-01,2023,8,7,0,7,8
2023-09-01,2023,9,3,0,3,3
2023-10-01,2023,10,3,2,5,47
2023-11-01,2023,11,7,0,7,8
2023-12-01,2023,12,4,3,7,23
2024-01-01,2024,1,6,0,6,10
2024-02-01,2024,2,5,1,6,16
2024-03-01,2024,3,6,0,6,7
2024-04-01,2024,4,5,0,5,9
2024-05-01,2024,5,4,1,5,11
2024-06-01,2024,6,8,0,8,14
2024-07-01,2024,7,3,1,4,7
2024-08-01,2024,8,4,1,5,14
2024-09-01,2024,9,2,1,3,6
2024-10-01,2024,10,4,0,4,7
2024-11-01,2024,11,2,1,3,65
2024-12-01,2024,12,5,0,5,8
