reg_name,total_events,total_cases_capped_for_model,units
Sofia,99,151,210
Atsimo Andrefana,94,252,195
Diana,81,355,110
Boeny,58,146,100
Analamanga,46,86,226
Sava,35,148,136
Analanjirofo,25,102,138
Alaotra Mangoro,24,84,182
Menabe,21,71,89
Melaky,19,32,63
Atsinanana,18,61,188
Amoron'i Mania,16,50,120
Vakinankaratra,16,49,153
Haute Matsiatra,15,88,121
Itasy,14,25,85
Vatovavy,11,40,86
Androy,10,41,77
Anosy,8,17,108
Atsimo Atsinanana,7,46,128
Betsiboka,7,8,59
Ihorombe,6,11,38
Bongolava,5,12,47
Fitovinany,5,40,105
